source_string,translated_string,context
Add Row,Zeile hinzufuegen,
Bookings,Buchungen,
Reports,Berichte,
Monthly Time Tracking Summary,Monatsuebersicht Zeiterfassung,
Month,Monat,
Year,Jahr,
Worked Hours,Gearbeitete Stunden,
Planned Hours,Geplante Stunden,
Monthly Delta,Monatsdifferenz,
Workdays,Arbeitstage,
Holidays,Feiertage,
Total Days,Gesamttage,
Hours per Day,Stunden pro Tag,
Holiday Hours,Feiertagsstunden,
Vacation Hours,Urlaubsstunden,
Sickness Hours,Krankheitsstunden,
Total Hours,Gesamtstunden,
Holiday List,Feiertagsliste,
Time Tracking Holiday List,Feiertagsliste,
Holiday List Name,Feiertagslistenname,
Holiday Date,Feiertagsdatum,
Description,Beschreibung,
From Date,Von Datum,
To Date,Bis Datum,
Enable Holidays,Feiertage aktivieren,
Enable holiday lists for monthly calculations and booking validation.,Feiertagslisten fuer monatliche Berechnungen und Buchungspruefung aktivieren.,
Holiday List for {0} must be named {1}.,Feiertagsliste fuer {0} muss {1} heissen.,
Holiday List name must be {0}.,Feiertagslistenname muss {0} heissen.,
Holiday List for {0} already exists.,Feiertagsliste fuer {0} existiert bereits.,
Holiday date {0} must be within year {1}.,Feiertagsdatum {0} muss im Jahr {1} liegen.,
Holiday date {0} is duplicated.,Feiertagsdatum {0} ist doppelt.,
Sickness,Krankheit,
Sickness Booking Project,Krankheitsprojekt,
Project used for sickness bookings.,Projekt fuer Krankheitsbuchungen.,
Budget,Budget,
Budget Hours,Budgetstunden,
Budget Amount,Budgetbetrag,
Total Budget Hours,Gesamtbudget Stunden,
Total Budget Amount,Gesamtbudget Betrag,
Actual Hours,Ist-Stunden,
Actual Amount,Ist-Betrag,
Budget Status,Budgetstatus,
Budget Hours Used (%),Budgetstunden verbraucht (%),
Budget Amount Used (%),Budgetbetrag verbraucht (%),
Not Bookable,Nicht buchbar,
Prevent new bookings on this project.,Neue Buchungen fuer dieses Projekt verhindern.,
Calendar Week,Kalenderwoche,
Calendar Year,Kalenderjahr,
Missing Value,Fehlender Wert,
Mon,Mo,
Monday,Montag,
Notice,Hinweis,
Note,Notiz,
No data received.,Keine Daten erhalten.,
Not permitted to load bookings for another user.,Nicht erlaubt, Buchungen fuer einen anderen Benutzer zu laden.,
Not permitted to save bookings for another user.,Nicht erlaubt, Buchungen fuer einen anderen Benutzer zu speichern.,
Not permitted to update another user's booking.,Nicht erlaubt, Buchung eines anderen Benutzers zu aktualisieren.,
Period,Zeitraum,
Project,Projekt,
Project {0} does not exist.,Projekt {0} existiert nicht.,
Project {0} is a group and cannot be booked.,Projekt {0} ist eine Gruppe und kann nicht bebucht werden.,
Project {0} is not bookable.,Projekt {0} ist nicht buchbar.,
Projects not bookable cannot be edited: {0},Nicht buchbare Projekte koennen nicht bearbeitet werden: {0},
Saved,Gespeichert,
Save,Speichern,
Sat,Sa,
Saturday,Samstag,
Sun,So,
Sunday,Sonntag,
Thu,Do,
Thursday,Donnerstag,
Total,Summe,
Tue,Di,
Tuesday,Dienstag,
User,Benutzer,
Week Start,Wochenbeginn,
Week End,Wochenende,
Week start date is required.,Wochenbeginn ist erforderlich.,
Week start date should be a Monday.,Wochenbeginn sollte ein Montag sein.,
Week start is required.,Wochenbeginn fehlt.,
Week,Woche,
Weekly Booking,Wochenbuchung,
Weekly booking saved.,Wochenbuchung gespeichert.,
Wed,Mi,
Wednesday,Mittwoch,
Fri,Fr,
Friday,Freitag,
Hours for {0} cannot be negative.,Stunden fuer {0} duerfen nicht negativ sein.,
Increase time,Zeit erhoehen,
Decrease time,Zeit verringern,
Project Access,Projektzugriff,
Team Management,Team Verwaltung,
Require Project Assignment,Projektfreigabe erforderlich,
Only allow projects that are assigned to a profile.,Nur Projekte zulassen, die einem Profil zugewiesen sind.,
When enabled, only admins can assign projects to profiles. When disabled, users can self-assign.,Wenn aktiviert, koennen nur Admins Projekte zu Profilen zuweisen. Wenn deaktiviert, koennen Benutzer sich selbst zuweisen.,
Project assignments can only be managed by an admin.,Projektzuweisungen koennen nur von einem Admin verwaltet werden.,
Assigned Projects,Zugewiesene Projekte,
Active,Aktiv,
Not permitted to load projects for another user.,Nicht erlaubt, Projekte fuer einen anderen Benutzer zu laden.,
Self Service,Self-Service,
My Project Access,Meine Projektzuordnung,
Week Total,Wochenstunden gesamt,
Weekly target not set.,Wochenziel nicht gesetzt.,
Over by,Mehr als Ziel,
Remaining,Fehlen noch,
Month Total,Monatsstunden gesamt,
Hours Balance,Stundenkonto,
Monthly target not set.,Monatsziel nicht gesetzt.,
Settings,Einstellungen,
Time Tracking,Zeiterfassung,
Time Tracking Settings,Zeiterfassung Einstellungen,
Time Tracking Summary,Zeiterfassung Uebersicht,
Weekly Booking Day Label Format,Datumsformat fuer Tageslabels in Weekly Booking,
Date format for day labels in Weekly Booking (Moment.js format).,Datumsformat fuer Tageslabels in Weekly Booking (Moment.js-Format).,
Time Tracking Profile is required.,Time Tracking Profile ist erforderlich.,
Project is required for bookings.,Projekt ist fuer Buchungen erforderlich.,
Project {0} is not assigned to your profile.,Projekt {0} ist deinem Profil nicht zugewiesen.,
Duration must be a multiple of {0} minutes.,Dauer muss ein Vielfaches von {0} Minuten sein.,
Overtime balance can only be updated by an admin.,Ueberstundenkonto darf nur von Admin geaendert werden.,
A rate already exists for {0}.,Ein Stundensatz existiert bereits fuer {0}.,
Adjustment value must be non-zero.,Anpassungswert darf nicht 0 sein.,
Current target hours are required before switching.,Aktuelle Zielstunden sind vor dem Wechsel erforderlich.,
Current target period is invalid.,Aktueller Zielzeitraum ist ungueltig.,
Decrease {0},Verringere {0},
Duration must be greater than 0 minutes.,Dauer muss groesser als 0 Minuten sein.,
Formula,Formel,
Hourly rate can only be updated by an admin.,Stundensatz darf nur von Admin geaendert werden.,
Hourly rate cannot be negative.,Stundensatz darf nicht negativ sein.,
Hourly rate must be greater than 0.,Stundensatz muss groesser als 0 sein.,
Hours,Stunden,
Increase {0},Erhoehe {0},
Links,Links,
Monthly Target,Monatsziel,
Monthly target hours are required.,Monatliche Zielstunden sind erforderlich.,
New Target Hours,Neue Zielstunden,
Note is required for bookings.,Notiz ist fuer Buchungen erforderlich.,
Nothing to Change,Nichts zu aendern,
Only administrators can adjust targets.,Nur Administratoren koennen Ziele anpassen.,
Only administrators can switch target periods.,Nur Administratoren koennen Zielzeitraum wechseln.,
Open User Profile,Benutzerprofil oeffnen,
Please enter a positive hour value.,Bitte einen positiven Stundenwert eingeben.,
Profile rate overrides are disabled in settings.,Profil-Stundensatz-Ueberschreibungen sind in den Einstellungen deaktiviert.,
Projects not assigned to your profile cannot be edited. Reassign to update: {0},Projekte, die deinem Profil nicht zugewiesen sind, koennen nicht bearbeitet werden. Neu zuweisen zum Aktualisieren: {0},
Project Setup,Projekt Setup,
Rate type must be Role or User.,Stundensatztyp muss Rolle oder Benutzer sein.,
Rate type must be {0} based on settings.,Stundensatztyp muss gemaess Einstellungen {0} sein.,
Role is required for role-based rates.,Rolle ist fuer rollenbasierte Saetze erforderlich.,
Suggested Target Hours,Vorgeschlagene Zielstunden,
Switch,Wechseln,
Switch to Monthly Target,Auf Monatsziel wechseln,
Switch to Weekly Target,Auf Wochenziel wechseln,
